code_region,region,rang_vaccinal,date_debut_semaine,nb
93,PAC,2,2021-01-25,1366
93,PAC,1,2021-02-01,24364
93,PAC,2,2021-02-01,6857
93,PAC,1,2021-02-08,18590
93,PAC,2,2021-02-08,15251
93,PAC,1,2021-02-15,11232
93,PAC,2,2021-02-15,31519
93,PAC,1,2021-02-22,17724
93,PAC,2,2021-02-22,30880
93,PAC,1,2021-03-01,57515
93,PAC,2,2021-03-01,22907
93,PAC,1,2021-03-08,60165
93,PAC,2,2021-03-08,18218
93,PAC,1,2021-03-15,63715
93,PAC,2,2021-03-15,11548
93,PAC,1,2021-03-22,56378
93,PAC,2,2021-03-22,15017
93,PAC,1,2021-03-29,29368
93,PAC,2,2021-03-29,28436
93,PAC,1,2021-04-05,12274
93,PAC,2,2021-04-05,42154
93,PAC,1,2021-04-12,6034
93,PAC,2,2021-04-12,54654
93,PAC,1,2021-04-19,2970
93,PAC,2,2021-04-19,47832
52,PDL,1,2021-01-18,17270
52,PDL,2,2021-01-18,32
52,PDL,1,2021-01-25,15632
52,PDL,2,2021-01-25,1789
52,PDL,1,2021-02-01,13942
52,PDL,2,2021-02-01,6135
52,PDL,1,2021-02-08,11860
52,PDL,2,2021-02-08,8046
52,PDL,1,2021-02-15,10310
52,PDL,2,2021-02-15,15168
52,PDL,1,2021-02-22,10801
52,PDL,2,2021-02-22,14748
52,PDL,1,2021-03-01,17375
52,PDL,2,2021-03-01,13050
52,PDL,1,2021-03-08,23502
52,PDL,2,2021-03-08,10651
52,PDL,1,2021-03-15,33186
52,PDL,2,2021-03-15,7313
52,PDL,1,2021-03-22,32745
52,PDL,2,2021-03-22,8272
52,PDL,1,2021-03-29,15759
52,PDL,2,2021-03-29,13943
52,PDL,1,2021-04-05,7311
52,PDL,2,2021-04-05,19469
52,PDL,1,2021-04-12,3001
52,PDL,2,2021-04-12,34191
52,PDL,1,2021-04-19,2092
52,PDL,2,2021-04-19,32172
04,REU,1,2021-01-18,294
04,REU,2,2021-01-18,2
04,REU,1,2021-01-25,1709
04,REU,2,2021-01-25,2
04,REU,1,2021-02-01,2597
04,REU,2,2021-02-01,28
04,REU,1,2021-02-08,3179
04,REU,2,2021-02-08,48
04,REU,1,2021-02-15,2526
04,REU,2,2021-02-15,907
04,REU,1,2021-02-22,2197
04,REU,2,2021-02-22,1681
04,REU,1,2021-03-01,2758
04,REU,2,2021-03-01,2714
04,REU,1,2021-03-08,2719
04,REU,2,2021-03-08,3533
04,REU,1,2021-03-15,3099
04,REU,2,2021-03-15,2991
04,REU,1,2021-03-22,3860
04,REU,2,2021-03-22,2558
04,REU,1,2021-03-29,3143
04,REU,2,2021-03-29,2989
04,REU,1,2021-04-05,2390
04,REU,2,2021-04-05,2970
04,REU,1,2021-04-12,1068
04,REU,2,2021-04-12,3348
04,REU,1,2021-04-19,34
04,REU,2,2021-04-19,551
